"gene","pathway"
"CD28","ORPHA:3162"
"CD28","ORPHA:2584"
"CD36","OMIM:608404"
"SCARB2","ORPHA:163696"
"SCARB2","OMIM:254900"
"SCARB2","ORPHA:77259"
"SCARB2","ORPHA:308"
"ENTPD1","OMIM:615683"
"ENTPD1","ORPHA:401810"
"CD40","ORPHA:101090"
"CD40","OMIM:606843"
"CD40LG","OMIM:308230"
"CD40LG","ORPHA:101088"
"CD59","OMIM:612300"
"CD59","ORPHA:169464"
"CD79A","OMIM:613501"
"CD79A","ORPHA:33110"
"CD79B","OMIM:612692"
"CD79B","ORPHA:33110"
"CD81","OMIM:613496"
"CD81","ORPHA:1572"
"CD151","ORPHA:300333"
"CD151","OMIM:609057"
"LRBA","OMIM:614700"
"LRBA","ORPHA:445018"
"CDC6","ORPHA:2554"
"CDC6","OMIM:613805"
"CDC42","OMIM:616737"
"CDC42","ORPHA:487796"
"CDH1","OMIM:608089"
"CDH1","OMIM:119580"
"CDH1","OMIM:167000"
"CDH1","ORPHA:26106"
"CDH1","ORPHA:199306"
"CDH1","ORPHA:1997"
"CDH1","OMIM:137215"
"CDH3","ORPHA:1897"
"CDH3","ORPHA:1573"
"CDH3","OMIM:225280"
"CDH3","OMIM:601553"
"CDH11","ORPHA:1299"
"CDH15","OMIM:612580"
"CDH15","ORPHA:178469"
"CDK4","ORPHA:99970"
"CDK4","ORPHA:618"
"CDK4","ORPHA:99971"
"CDK5","OMIM:616342"
"CDK6","OMIM:616080"
"CDK6","ORPHA:2512"
"CDKN1A","ORPHA:652"
"CDKN1B","ORPHA:276152"
"CDKN1B","ORPHA:652"
"CDKN1B","OMIM:610755"
"CDKN1C","ORPHA:397590"
"CDKN1C","OMIM:614732"
"CDKN1C","ORPHA:231120"
"CDKN1C","OMIM:130650"
"CDKN1C","ORPHA:85173"
"CDKN1C","ORPHA:436144"
"CDKN2A","ORPHA:618"
"CDKN2A","OMIM:606719"
"CDKN2A","ORPHA:99860"
"CDKN2A","ORPHA:252206"
"CDKN2A","OMIM:155755"
"CDKN2A","ORPHA:404560"
"CDKN2A","ORPHA:99861"
"CDKN2A","ORPHA:1333"
"CDKN2B","ORPHA:618"
"CDKN2B","ORPHA:652"
"CDKN2C","ORPHA:652"
"CDKN2D","ORPHA:618"
